Repository Name,Repository URL,Java Usage (%),Commit Count
incubator-taverna-plugin-gis,https://github.com/apache/incubator-taverna-plugin-gis,100.00,19
incubator-retired-gossip,https://github.com/apache/incubator-retired-gossip,100.00,194
phoenix-tephra,https://github.com/apache/phoenix-tephra,99.62,419
pulsar,https://github.com/apache/pulsar,98.38,13180
twill,https://github.com/apache/twill,100.00,294
commons-rng,https://github.com/apache/commons-rng,99.56,1807
incubator-twill,https://github.com/apache/incubator-twill,100.00,184
incubator-retired-tamaya-extensions,https://github.com/apache/incubator-retired-tamaya-extensions,100.00,1618
incubator-retired-tamaya-sandbox,https://github.com/apache/incubator-retired-tamaya-sandbox,100.00,527
usergrid-android,https://github.com/apache/usergrid-android,100.00,2
usergrid-java,https://github.com/apache/usergrid-java,100.00,2
asterixdb-bad,https://github.com/apache/asterixdb-bad,99.14,111
maven-resolver,https://github.com/apache/maven-resolver,99.95,1272
incubator-hivemall,https://github.com/apache/incubator-hivemall,98.67,2037
opennlp-addons,https://github.com/apache/opennlp-addons,97.81,107
opennlp-sandbox,https://github.com/apache/opennlp-sandbox,95.39,660
commons-numbers,https://github.com/apache/commons-numbers,99.84,1483
accumulo-bsp,https://github.com/apache/accumulo-bsp,100.00,9
accumulo-instamo-archetype,https://github.com/apache/accumulo-instamo-archetype,100.00,66
accumulo-pig,https://github.com/apache/accumulo-pig,100.00,9
accumulo-wikisearch,https://github.com/apache/accumulo-wikisearch,97.69,142
aries-jax-rs-whiteboard,https://github.com/apache/aries-jax-rs-whiteboard,99.62,795
rocketmq,https://github.com/apache/rocketmq,98.83,8720
accumulo-examples,https://github.com/apache/accumulo-examples,98.40,138
geode-examples,https://github.com/apache/geode-examples,97.25,194
cayenne-modeler,https://github.com/apache/cayenne-modeler,100.00,142
logging-log4j-boot,https://github.com/apache/logging-log4j-boot,100.00,19
ratis,https://github.com/apache/ratis,98.36,1819
activemq-cli-tools,https://github.com/apache/activemq-cli-tools,97.02,48
qpid-jms-amqp-0-x,https://github.com/apache/qpid-jms-amqp-0-x,100.00,7631
freemarker-online-tester,https://github.com/apache/freemarker-online-tester,95.55,79
activemq-nms-openwire-generator,https://github.com/apache/activemq-nms-openwire-generator,100.00,32
datasketches-memory,https://github.com/apache/datasketches-memory,98.86,1043
struts-extras,https://github.com/apache/struts-extras,100.00,66
calcite-avatica,https://github.com/apache/calcite-avatica,96.33,2831
aries-jpa,https://github.com/apache/aries-jpa,100.00,216
servicecomb-java-chassis,https://github.com/apache/servicecomb-java-chassis,99.99,4458
aries-containers,https://github.com/apache/aries-containers,100.00,52
httpcomponents-stylecheck,https://github.com/apache/httpcomponents-stylecheck,100.00,28
geronimo-config,https://github.com/apache/geronimo-config,100.00,114
metamodel-membrane,https://github.com/apache/metamodel-membrane,99.19,49
seatunnel,https://github.com/apache/seatunnel,98.93,4574
directory-ldap-api,https://github.com/apache/directory-ldap-api,98.68,6275
netbeans-html4j,https://github.com/apache/netbeans-html4j,96.05,443
geronimo-safeguard,https://github.com/apache/geronimo-safeguard,100.00,54
jackrabbit-filevault-package-maven-plugin,https://github.com/apache/jackrabbit-filevault-package-maven-plugin,99.32,443
shardingsphere-example,https://github.com/apache/shardingsphere-example,95.52,1437
datasketches-vector,https://github.com/apache/datasketches-vector,100.00,94
pdfbox-jbig2,https://github.com/apache/pdfbox-jbig2,100.00,126
sling-org-apache-sling-api,https://github.com/apache/sling-org-apache-sling-api,99.88,696
sling-org-apache-sling-auth-core,https://github.com/apache/sling-org-apache-sling-auth-core,100.00,324
sling-org-apache-sling-auth-form,https://github.com/apache/sling-org-apache-sling-auth-form,96.75,153
sling-org-apache-sling-commons-classloader,https://github.com/apache/sling-org-apache-sling-commons-classloader,100.00,169
sling-org-apache-sling-commons-compiler,https://github.com/apache/sling-org-apache-sling-commons-compiler,100.00,68
sling-org-apache-sling-commons-contentdetection,https://github.com/apache/sling-org-apache-sling-commons-contentdetection,100.00,71
sling-org-apache-sling-commons-johnzon,https://github.com/apache/sling-org-apache-sling-commons-johnzon,100.00,62
sling-org-apache-sling-commons-log,https://github.com/apache/sling-org-apache-sling-commons-log,100.00,270
sling-org-apache-sling-commons-logservice,https://github.com/apache/sling-org-apache-sling-commons-logservice,100.00,69
sling-org-apache-sling-commons-metrics,https://github.com/apache/sling-org-apache-sling-commons-metrics,100.00,98
sling-org-apache-sling-commons-metrics-rrd4j,https://github.com/apache/sling-org-apache-sling-commons-metrics-rrd4j,100.00,43
sling-org-apache-sling-commons-mime,https://github.com/apache/sling-org-apache-sling-commons-mime,96.74,146
sling-org-apache-sling-commons-messaging-mail,https://github.com/apache/sling-org-apache-sling-commons-messaging-mail,98.31,153
sling-org-apache-sling-commons-messaging,https://github.com/apache/sling-org-apache-sling-commons-messaging,100.00,65
sling-org-apache-sling-commons-osgi,https://github.com/apache/sling-org-apache-sling-commons-osgi,100.00,132
